date,close,volume,open,high,low,stock_name
2015-03-16,554.51,1636400.0,550.0,556.85,546.0,Google
2015-03-17,550.84,1800500.0,551.71,553.8,548.0,Google
2015-03-18,559.5,2128700.0,552.5,559.78,547.0,Google
2015-03-19,557.99,1194000.0,558.11,560.8,556.15,Google
2015-03-20,560.36,2609600.0,561.65,561.72,559.05,Google
2015-03-23,558.81,1639300.0,560.43,562.36,555.83,Google
2015-03-24,570.19,2576200.0,562.56,574.59,561.21,Google
2015-03-25,558.78,2146300.0,570.5,572.26,558.74,Google
2015-03-26,555.17,1568300.0,557.59,558.9,550.65,Google
2015-03-27,548.34,1892300.0,552.91,555.28,548.13,Google
2015-03-30,552.03,1283900.0,551.62,553.47,548.17,Google
2015-03-31,548.0,1583600.0,550.0,554.71,546.72,Google
2015-04-01,542.56,1957700.0,548.6,551.14,539.5,Google
2015-04-02,535.53,1711700.0,540.85,540.85,533.85,Google
2015-04-06,536.77,1320700.0,532.22,538.41,529.57,Google
2015-04-07,537.02,1299295.0,538.08,542.69,536.0,Google
2015-04-08,541.61,1175300.0,538.74,543.85,538.38,Google
2015-04-09,540.78,1551968.0,541.03,541.95,535.49,Google
2015-04-10,540.01,1405500.0,542.29,542.29,537.31,Google
2015-04-13,539.17,1640800.0,538.41,544.06,537.31,Google
2015-04-14,530.39,2597000.0,536.06,537.57,528.09,Google
2015-04-15,532.53,2305980.0,528.7,534.73,523.22,Google
2015-04-16,533.8,1296304.0,529.9,535.59,529.61,Google
2015-04-17,524.05,2145900.0,527.27,529.84,521.01,Google
2015-04-20,535.38,1675487.0,525.6,536.09,524.5,Google
2015-04-21,533.97,1839618.0,537.51,539.39,533.67,Google
2015-04-22,539.36,1588911.0,534.4,541.08,531.75,Google
2015-04-23,547.0,4173300.0,541.1,550.96,540.23,Google
2015-04-24,565.06,4919000.0,566.1,571.14,557.25,Google
2015-04-27,555.37,2398000.0,563.12,565.95,553.2,Google
2015-04-28,553.68,1490900.0,553.85,556.02,550.37,Google
2015-04-29,549.08,1698700.0,550.02,553.68,546.91,Google
2015-04-30,537.34,2082200.0,547.87,548.59,535.05,Google
2015-05-01,537.9,1768100.0,538.43,539.54,532.1,Google
2015-05-04,540.78,1307900.0,538.53,544.07,535.06,Google
2015-05-05,530.8,1383000.0,538.21,539.74,530.39,Google
2015-05-06,524.22,1566967.0,531.24,532.38,521.09,Google
2015-05-07,530.7,1546248.0,523.99,533.46,521.75,Google
2015-05-08,538.22,1527600.0,536.61,541.15,536.0,Google
2015-05-11,535.7,905200.0,538.37,541.98,535.4,Google
2015-05-12,529.04,1634174.0,531.47,533.21,525.26,Google
2015-05-13,529.62,1253000.0,530.56,534.32,528.66,Google
2015-05-14,538.4,1403900.0,533.76,539.0,532.41,Google
2015-05-15,533.85,1970842.0,539.18,539.27,530.38,Google
2015-05-18,532.3,2003130.0,532.05,534.82,528.85,Google
2015-05-19,537.36,1966900.0,533.55,540.66,533.04,Google
2015-05-20,539.27,1430800.0,538.49,542.92,532.97,Google
2015-05-21,542.51,1462600.0,538.68,543.84,535.98,Google
2015-05-22,540.11,1176200.0,540.15,544.19,539.51,Google
2015-05-26,532.32,2406480.0,538.12,539.0,529.88,Google
2015-05-27,539.79,1525000.0,532.8,540.55,531.71,Google
2015-05-28,539.78,1029849.0,538.01,540.61,536.25,Google
2015-05-29,532.11,2597400.0,537.04,538.63,531.45,Google
2015-06-01,533.99,1904300.0,535.6,536.79,529.76,Google
2015-06-02,539.18,1938989.0,532.21,543.0,531.33,Google
2015-06-03,540.31,1717000.0,539.91,543.5,537.11,Google
2015-06-04,536.7,1348300.0,537.76,540.59,534.32,Google
2015-06-05,533.33,1388200.0,536.35,537.2,532.52,Google
